 difficulty | occurrences 
------------+-------------
     -34961 |           4
     -33820 |        1612
     -33774 |        1491
     -33732 |        1730
     -33625 |        1317
     -33467 |          14
     -33398 |        1154
     -33214 |           6
     -33114 |         949
     -32966 |          10
     -32785 |         721
     -32423 |         536
     -32155 |          11
     -32039 |         384
     -31637 |         268
     -31512 |           1
     -31225 |         120
     -31038 |         540
     -31013 |         629
     -30959 |         419
     -30926 |           4
     -30906 |         704
     -30806 |          84
     -30746 |         341
     -30736 |         765
     -30589 |           6
     -30516 |         749
     -30383 |          50
     -30359 |         238
     -30259 |         650
     -29972 |         588
     -29961 |          19
     -29748 |           2
     -29664 |         475
     -29539 |           9
     -29339 |         328
     -29134 |           2
     -29121 |           1
     -29002 |         207
     -28846 |           1
     -28708 |           1
     -28698 |         256
     -28687 |         334
     -28658 |         139
     -28627 |         178
     -28609 |         406
     -28479 |         516
     -28452 |         123
     -28309 |          68
     -28307 |         502
     -28145 |          83
     -28102 |         497
     -27956 |          29
     -27872 |         479
     -27671 |          47
     -27621 |         375
     -27604 |          11
     -27355 |         248
     -27251 |           2
     -27078 |         130
     -26986 |          32
     -26901 |           2
     -26792 |         115
     -26710 |           1
     -26702 |         202
     -26699 |         255
     -26642 |         348
     -26638 |         143
     -26541 |         403
     -26499 |          36
     -26491 |          88
     -26405 |         442
     -26242 |          56
     -26240 |         419
     -26203 |          13
     -26053 |         356
     -25905 |           6
     -25865 |          42
     -25847 |         286
     -25627 |         179
     -25606 |           1
     -25395 |          90
     -25330 |          21
     -25179 |           1
     -25155 |          63
     -24980 |         281
     -24977 |         221
     -24938 |         312
     -24919 |         159
     -24909 |          21
     -24859 |         366
     -24794 |         109
     -24792 |           1
     -24750 |         381
     -24658 |           5
     -24616 |         330
     -24597 |           5
     -24588 |          69
     -24462 |         242
     -24403 |           1
     -24291 |         168
     -24283 |          36
     -24107 |          99
     -23912 |          47
     -23856 |          15
     -23709 |          16
     -23612 |           5
     -23478 |         295
     -23471 |         221
     -23447 |         306
     -23419 |         197
     -23385 |         324
     -23312 |          95
     -23297 |         293
     -23279 |          10
     -23187 |         227
     -23139 |          87
     -23059 |         166
     -22916 |          90
     -22887 |          50
     -22761 |          35
     -22596 |           8
     -22539 |          25
     -22516 |          10
     -22422 |           1
     -22155 |         329
     -22145 |         292
     -22132 |         343
     -22097 |         236
     -22083 |         297
     -22076 |          12
     -22011 |         239
     -22004 |         150
     -21920 |         147
